k,lr,embedding_dim,temperature,run_name,best_epoch,train_loss,val_loss,stage_sil,patient_sil_W,patient_sil_N1,patient_sil_N2,patient_sil_N3,patient_sil_R,avg_patient_sil,status
20,0.001,32,0.5,gcn_k20_e32_t0.50_lr1e-03,8,3.4305344274410836,3.4227823773655324,-0.0610632561147213,-0.04976978152990341,-0.04259643703699112,-0.03287992253899574,-0.03845534101128578,-0.011398720555007458,-0.035020040534436706,success
20,0.001,32,1.0,gcn_k20_e32_t1.00_lr1e-03,3,3.4312139987945556,3.425559234181675,-0.057253822684288025,-0.0935199037194252,-0.03738301619887352,-0.023253200575709343,-0.033098407089710236,-0.011888595297932625,-0.039828624576330185,success
20,0.001,64,0.3,gcn_k20_e64_t0.30_lr1e-03,4,3.431150110868307,3.4244896031300955,-0.04805654659867287,-0.08601381629705429,-0.05244580656290054,-0.02101714164018631,-0.02647876925766468,-0.02958790771663189,-0.043108688294887544,success
20,0.001,64,0.5,gcn_k20_e64_t0.50_lr1e-03,3,3.431159966267072,3.425569339629707,-0.05474434047937393,-0.07103362679481506,-0.04824737086892128,-0.020889438688755035,-0.030490364879369736,-0.032145317643880844,-0.04056122377514839,success
20,0.001,64,1.0,gcn_k20_e64_t1.00_lr1e-03,4,3.431169366836548,3.4255511695091876,-0.05551993101835251,-0.056029144674539566,-0.03149337321519852,-0.02163214609026909,-0.03170685097575188,-0.017254453152418137,-0.03162319362163544,success
20,0.01,32,0.3,gcn_k20_e32_t0.30_lr1e-02,2,3.431408206316141,3.4266826909616452,-0.07808566093444824,-0.10351140052080154,-0.021534472703933716,-0.041974615305662155,-0.05368774011731148,0.015540597029030323,-0.04103352632373571,success
20,0.01,32,0.5,gcn_k20_e32_t0.50_lr1e-02,5,3.4313817533162925,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
20,0.01,32,1.0,gcn_k20_e32_t1.00_lr1e-02,4,3.4313821508334232,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
20,0.01,64,0.3,gcn_k20_e64_t0.30_lr1e-02,5,3.43138175881826,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
20,0.01,64,0.5,gcn_k20_e64_t0.50_lr1e-02,1,3.431677602346127,3.426670098523481,-0.10098566114902496,-0.11209706217050552,-0.009099112823605537,-0.08065924793481827,-0.09062133729457855,0.02012580633163452,-0.05447019077837467,success
20,0.01,64,1.0,gcn_k20_e64_t1.00_lr1e-02,4,3.4313820738058824,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
30,0.001,32,0.3,gcn_k30_e32_t0.30_lr1e-03,6,3.431253977922293,3.423572636525565,-0.0695975199341774,-0.07008717209100723,0.04207666963338852,-0.06866443902254105,-0.055497486144304276,0.03410324826836586,-0.023613835871219634,success
30,0.001,32,0.5,gcn_k30_e32_t0.50_lr1e-03,10,3.431129341859084,3.423202094681766,-0.08534903824329376,-0.056789953261613846,0.03800055384635925,-0.08303234726190567,-0.04547122120857239,0.062126774340867996,-0.01703323870897293,success
30,0.001,32,1.0,gcn_k30_e32_t1.00_lr1e-03,10,3.43110989011251,3.424610765702134,-0.10289208590984344,-0.07067985832691193,0.033406104892492294,-0.08818100392818451,-0.04036223515868187,0.05883901193737984,-0.021395596116781233,success
30,0.001,64,0.3,gcn_k30_e64_t0.30_lr1e-03,4,3.431460337455456,3.42458447403864,-0.07461664825677872,-0.06939951330423355,0.03898325189948082,-0.05803801864385605,-0.06365149468183517,-0.002878063591197133,-0.03099676766432822,success
30,0.001,64,0.5,gcn_k30_e64_t0.50_lr1e-03,4,3.431335480396564,3.4254349502948447,-0.07375060021877289,-0.07121840119361877,0.038029834628105164,-0.05479501932859421,-0.0502946600317955,0.032468441873788834,-0.021161960810422896,success
30,0.001,64,1.0,gcn_k30_e64_t1.00_lr1e-03,8,3.431308462528082,3.4263824344775,-0.12234528362751007,-0.06769905239343643,0.028303131461143494,-0.07119689136743546,-0.05272548273205757,0.05573819577693939,-0.021516019850969313,success
30,0.01,32,0.3,gcn_k30_e32_t0.30_lr1e-02,7,3.431381778533642,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
30,0.01,32,0.5,gcn_k30_e32_t0.50_lr1e-02,5,3.4313820618849533,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
30,0.01,32,1.0,gcn_k30_e32_t1.00_lr1e-02,4,3.4313817711976857,3.426694139428095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,success
30,0.01,64,0.3,gcn_k30_e64_t0.30_lr1e-02,2,3.431454266493137,3.426689703530128,-0.11540573090314865,-0.14322510361671448,0.011821520514786243,-0.056806810200214386,-0.05890783667564392,0.022214582189917564,-0.0449807295575738,success
30,0.01,64,0.5,gcn_k30_e64_t0.50_lr1e-02,1,3.431800799186413,3.426674359435335,-0.12146627902984619,-0.06268366426229477,0.013600209727883339,-0.056564811617136,-0.06949770450592041,0.03393801301717758,-0.028241591528058052,success
30,0.01,64,1.0,gcn_k30_e64_t1.00_lr1e-02,1,3.4315731172378245,3.4266807311171785,-0.05883283540606499,-0.09189487248659134,0.015796083956956863,-0.04802169278264046,-0.03791673108935356,0.04313710331916809,-0.02378002181649208,success
